epoch,accuracy,dice_coef,jaccard_coef,loss,lr,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.8594337105751038,0.23341073095798492,0.19405972957611084,0.4695393443107605,1e-04,0.9756308794021606,0.22325614094734192,0.18586668372154236,0.410442590713501
1,0.9906467795372009,0.3118619918823242,0.27015015482902527,0.1033167839050293,1e-04,0.9744665622711182,0.29315271973609924,0.25893452763557434,0.16682781279087067
2,0.9918806552886963,0.35812991857528687,0.30546534061431885,0.06245318055152893,1e-04,0.9814444780349731,0.3168557584285736,0.2811763882637024,0.14269132912158966
3,0.9924538731575012,0.39635688066482544,0.3339513838291168,0.04486609995365143,1e-04,0.9702430963516235,0.335807204246521,0.29221659898757935,0.17212094366550446
4,0.9932562112808228,0.43509504199028015,0.3626747727394104,0.034084051847457886,1e-04,0.9726529717445374,0.34897059202194214,0.3017476201057434,0.1823635995388031
5,0.99366295337677,0.46374014019966125,0.38458502292633057,0.02844098210334778,1e-04,0.9593539834022522,0.36817196011543274,0.31225332617759705,0.21082119643688202
6,0.9944227337837219,0.4891444146633148,0.4046270549297333,0.024384792894124985,2e-05,0.9787352085113525,0.38233500719070435,0.32729899883270264,0.10652676969766617
7,0.994588315486908,0.4985760450363159,0.4125732183456421,0.023276997730135918,2e-05,0.9775658845901489,0.38383057713508606,0.3280490040779114,0.11924150586128235
8,0.9947195053100586,0.5065000653266907,0.419009268283844,0.022378401830792427,2e-05,0.9746206402778625,0.3918834626674652,0.33296021819114685,0.13042882084846497
9,0.9948356747627258,0.514447033405304,0.4259207844734192,0.021485256031155586,2e-05,0.9796496033668518,0.3936447501182556,0.3361668586730957,0.09905359894037247
10,0.9949411153793335,0.5217891335487366,0.4319519102573395,0.020622309297323227,2e-05,0.9732789993286133,0.39490777254104614,0.3348098397254944,0.16037669777870178
11,0.9951851963996887,0.5302429795265198,0.4391345977783203,0.019654499366879463,4e-06,0.9734624028205872,0.3953508734703064,0.3351633548736572,0.1425199657678604
12,0.9952660202980042,0.5337778329849243,0.4423553943634033,0.019319532439112663,4e-06,0.9732852578163147,0.3984249532222748,0.3372687101364136,0.13590532541275024
13,0.9953300952911377,0.5363984107971191,0.4446997046470642,0.019037466496229172,4e-06,0.9764569997787476,0.4021935760974884,0.3410254418849945,0.12221980839967728
14,0.9953745007514954,0.5399003624916077,0.44778504967689514,0.018764717504382133,4e-06,0.9756998419761658,0.4027136564254761,0.34066498279571533,0.11763064563274384
15,0.9954274296760559,0.5423268675804138,0.4498802721500397,0.01847992092370987,4e-06,0.9766300320625305,0.40133512020111084,0.3400953412055969,0.12099514901638031
16,0.9955022931098938,0.546115517616272,0.4532100260257721,0.01818935014307499,1e-06,0.97688889503479,0.40411826968193054,0.34244754910469055,0.11560013145208359
17,0.9955229759216309,0.5470297932624817,0.45412829518318176,0.0180906280875206,1e-06,0.9739525318145752,0.40238267183303833,0.3405503034591675,0.13328184187412262
18,0.9955350160598755,0.5476828813552856,0.4546396732330322,0.01800648123025894,1e-06,0.9770367741584778,0.4076087772846222,0.34502238035202026,0.11251260340213776
19,0.9955494403839111,0.5484696626663208,0.4553801417350769,0.017913447692990303,1e-06,0.9772276878356934,0.4058363437652588,0.3437809348106384,0.11322254687547684
20,0.9955699443817139,0.5497798919677734,0.4565625488758087,0.017812401056289673,1e-06,0.9775057435035706,0.4094425141811371,0.34673503041267395,0.10869225859642029
21,0.9955887794494629,0.5511972904205322,0.45776093006134033,0.017715342342853546,1e-06,0.9770171642303467,0.4073644280433655,0.34513261914253235,0.11369488388299942
22,0.9955987334251404,0.5521157383918762,0.4586631655693054,0.01761711575090885,1e-06,0.9758039116859436,0.40769779682159424,0.34507742524147034,0.12246139347553253
23,0.9956125020980835,0.5535696744918823,0.4599548578262329,0.017514536157250404,1e-06,0.9752960205078125,0.4062001705169678,0.3440231680870056,0.1231972724199295
24,0.9956340193748474,0.5543752908706665,0.46063968539237976,0.01740249991416931,1e-06,0.973807692527771,0.40735653042793274,0.34455159306526184,0.13358980417251587
25,0.9956450462341309,0.5558881163597107,0.4620625376701355,0.017295468598604202,1e-06,0.9773924350738525,0.4101412296295166,0.34701603651046753,0.11130073666572571
26,0.9956653714179993,0.5571516752243042,0.4631611406803131,0.017183959484100342,1e-06,0.9733179211616516,0.4065016806125641,0.3433628976345062,0.13751032948493958
27,0.9956803917884827,0.5578626394271851,0.46370968222618103,0.01708303391933441,1e-06,0.9774113297462463,0.41091984510421753,0.3477892577648163,0.1129709929227829
28,0.9956981539726257,0.5596636533737183,0.4653390944004059,0.016971530392766,1e-06,0.9763716459274292,0.4109218120574951,0.347866028547287,0.11615928262472153
29,0.9957104325294495,0.5603039860725403,0.4659384787082672,0.016861790791153908,1e-06,0.9761489629745483,0.41117849946022034,0.3478541672229767,0.12293346226215363
